Start Time,End Time,Text
0.08,6.32,"hello is that dr pi? yeah speaking, can you get us 
some transcripts from youtube? transcripts? yeah  "
6.32,15.92,"okay I can do that! we will be awfully grateful 
if you can do this lovely job all right thank you"
22.32,26.08,"hello everybody in this video we're going 
to look at how to get the transcript of a  "
26.08,32.16,"youtube video automatically so we're going to be 
using python code to do this so let's look at how  "
32.16,42.48,"we're going to get about it so firstly we want 
to get the id of the youtube video so the id is  "
42.48,48.4,"the last part of the url of the video that you're 
watching that you want to get the transcript from  "
49.76,62.16,"next we want to uh we want to add the id to our 
python code and once we've done that we can then  "
62.16,68.72,"pass the output and we can save it to a text 
file or we can do some NLP with it if we want so  "
70.32,76.47999999999999,"we've all got our own reasons for passing and 
for actually extracting the transcript anyway um  "
76.48,83.04,"obviously there's manual ways of doing this 
and there are browser extensions but we want  "
83.04,88.56,"to do this programmatically and also we 
may want to do it for many many videos  "
88.56,92.96000000000001,"so you don't want to sit there keep clicking 
right clicking copy and pasting and so on so"
95.04,101.84,"as i said the part of the i part 
of the url which represents the id  "
101.84,110.72,"which you will need to get is this so after the 
equals and there's a little gotcha actually which  "
110.72,117.12,"i'll show you in the code in a minute where 
if it begins if it begins with a backslash  "
118.4,129.36,"so that's what you need to do and once you've got 
the video id then it's time to install pip install  "
129.36,137.60000000000002,"youtube dash transcript dash api and if you're 
doing it the normal old-fashioned way pip install  "
137.6,147.2,"youtube underscore transcript underscore api or 
if you're using conda conda install c conda dash  "
147.2,153.67999999999998,"forge youtube dash transcript dash api so when you 
do it on conda you've just got hyphens instead of  "
153.68,160.16,"underscores this is the conda page it was last 
updated three months ago so it's very recent  "
161.2,167.92,"it's quite a new project actually only 248 
downloads anyway when you've installed it  "
167.92,172.79999999999998,"or when you want to install it using conda you'll 
get a screen like this and it'll prompt you that  "
172.8,181.04000000000002,"you need to uh update or install the following 
packages ca certificates certified and conda  "
181.04,190.95999999999998,"and just say yes to agree to these they're quite 
small um right this is the this is a screenshot of  "
190.96,201.44,"the of the uh the the this is a screenshot of the 
documentation couldn't get my words out then not  "
201.44,207.52,"getting seen honestly it's just uh like a coffee 
right from youtube underscore transcript api  "
207.52,215.04000000000002,"import use youtube transcript api so just copy and 
paste that from the documentation then this is the  "
215.04,222.56,"good bit youtube youtube transcript api dot get 
underscore transcript and then a brackets video id  "
223.12,229.92000000000002,"so there's no um there's no quotes or anything for 
that so just paste it straight into the brackets  "
229.92,236.16,"and if you were to copy what they've shown 
here you would actually just get a large  "
236.16,242.79999999999998,"um large python dictionary insert or multiple 
python dictionaries inside the list so  "
243.92,247.2,"in a minute i'll show you some code and 
i'll show you how to actually extract that  "
248.24,251.60000000000002,"if you want different languages you 
can specify different languages so  "
251.6,257.84,"what it does is actually checks in sequence so 
it will check if you put d e then it will check  "
257.84,262.56,"for a german transcript first and then english 
and so on and so on so you can put many many  "
263.2,268.96,"different flavors there and uh yeah it will 
try and get the one that you want in sequence  "
